date,status,daily,cumulative,weekly
200518,All,2,2,2
200518,AtRisk,0,0,0
200519,All,6,8,8
200519,AtRisk,1,1,1
200520,All,84,92,92
200520,AtRisk,2,3,3
200521,All,48,140,140
200521,AtRisk,3,6,6
200522,All,79,219,219
200522,AtRisk,4,10,10
200523,All,9,228,228
200523,AtRisk,0,10,10
200524,All,13,241,241
200524,AtRisk,0,10,10
200525,All,1,242,240
200525,AtRisk,0,10,10
200526,All,54,296,288
200526,AtRisk,3,13,12
200527,All,31,327,235
200527,AtRisk,0,13,10
200528,All,53,380,240
200528,AtRisk,4,17,11
200529,All,444,824,605
200529,AtRisk,57,74,64
200530,All,531,1355,1127
200530,AtRisk,43,117,107
200531,All,161,1516,1275
200531,AtRisk,22,139,129
200601,All,1170,2686,2444
200601,AtRisk,43,182,172
200602,All,1756,4442,4146
200602,AtRisk,59,241,228
200603,All,1416,5858,5531
200603,AtRisk,37,278,265
200604,All,1605,7463,7083
200604,AtRisk,22,300,283
200605,All,1528,8991,8167
200605,AtRisk,20,320,246
200606,All,382,9373,8018
200606,AtRisk,12,332,215
200607,All,210,9583,8067
200607,AtRisk,7,339,200
200608,All,2514,12097,9411
200608,AtRisk,31,370,188
200609,All,2801,14898,10456
200609,AtRisk,22,392,151
200610,All,2965,17863,12005
200610,AtRisk,43,435,157
200611,All,2961,20824,13361
200611,AtRisk,32,467,167
200612,All,2705,23529,14538
200612,AtRisk,22,489,169
200613,All,754,24283,14910
200613,AtRisk,15,504,172
200614,All,713,24996,15413
200614,AtRisk,11,515,176
200615,All,4026,29022,16925
200615,AtRisk,34,549,179
200616,All,4206,33228,18330
200616,AtRisk,35,584,192
200617,All,4479,37707,19844
200617,AtRisk,43,627,192
200618,All,4548,42255,21431
200618,AtRisk,44,671,204
200619,All,3678,45933,22404
200619,AtRisk,37,708,219
200620,All,1072,47005,22722
200620,AtRisk,14,722,218
200621,All,687,47692,22696
200621,AtRisk,9,731,216
200622,All,4874,52566,23544
200622,AtRisk,34,765,216
200623,All,5017,57583,24355
200623,AtRisk,41,806,222
200624,All,5245,62828,25121
200624,AtRisk,38,844,217
200625,All,5268,68096,25841
200625,AtRisk,37,881,210
200626,All,4424,72520,26587
200626,AtRisk,32,913,205
200627,All,1178,73698,26693
200627,AtRisk,13,926,204
200628,All,776,74474,26782
200628,AtRisk,11,937,206
200629,All,5279,79753,27187
200629,AtRisk,31,968,203
200630,All,5434,85187,27604
200630,AtRisk,25,993,187
200701,All,5702,90889,28061
200701,AtRisk,70,1063,219
200702,All,5195,96084,27988
200702,AtRisk,73,1136,255
200703,All,1889,97973,25453
200703,AtRisk,21,1157,244
200704,All,694,98667,24969
200704,AtRisk,9,1166,240
200705,All,792,99459,24985
200705,AtRisk,16,1182,245
200706,All,4252,103711,23958
200706,AtRisk,65,1247,279
