date,description,url
2020-03-11,WHO declares COVID-19 to be a global pandemic,
2020-03-11,Governor Whitmer urges people to avoid non-essential travel and gatherings of >100 people,
2020-03-12,Governor Whitmer closes K-12 schools from March 16 - April 5,
2020-03-13,Governor Whitmer bans gatherings > 250 people,http://www.legislature.mi.gov/documents/2019-2020/executiveorder/pdf/2020-EO-05.pdf
2020-03-16,"Governor Whitmer bans dine-in service at bars and restaurants, and gyms, movie theaters, and recreational venues closed.",http://www.legislature.mi.gov/documents/2019-2020/executiveorder/pdf/2020-EO-09.pdf
2020-03-17,Governor Whitmer bans gatherings > 50 people,http://www.legislature.mi.gov/documents/2019-2020/executiveorder/pdf/2020-EO-11.pdf
2020-03-18,First confirmed COVID-19 death in Wayne County,
2020-03-23,"Governor Whitmer issues stay-at-home order barring non-essential in-perosn business, activities, and events through April 13th",http://www.legislature.mi.gov/documents/2019-2020/executiveorder/pdf/2020-EO-21.pdf
2020-04-01,"Governor Whitmer issues state disaster declaration, and asks lawmakers to extend emergency declaration for 70 days",http://www.legislature.mi.gov/documents/2019-2020/executiveorder/pdf/2020-EO-33.pdf
2020-04-02,Governor Whitmer orders K-12 schools closed for the rest of the school year,http://www.legislature.mi.gov/documents/2019-2020/executiveorder/pdf/2020-EO-35.pdf
2020-04-06,Governor Whitmer urges residents to wear face masks in public,
2020-04-09,Governor Whitmer extends state's stay-at-home order until April 30th,http://www.legislature.mi.gov/documents/2019-2020/executiveorder/pdf/2020-EO-42.pdf
2020-04-24,Governor Whitmer extends state's stay-at-home-order until May 15th with some restrictions on outdoor activities lifted,http://www.legislature.mi.gov/documents/2019-2020/executiveorder/pdf/2020-EO-59.pdf
2020-04-30,Governor Whitmer extends state's stay-at-home-order until May 28th,http://www.legislature.mi.gov/documents/2019-2020/executiveorder/pdf/2020-EO-70.pdf
2020-05-07,"Governor Whitmer extends state's stay-at-home order, but reopens manufacturing to resume Monday, May 11","https://www.michigan.gov/coronavirus/0,9753,7-406-98163-528452--,00.html"
